epoch;accuracy;loss;sensitivity;specificity;val_accuracy;val_loss;val_sensitivity;val_specificity
0;0.5064082145690918;1.1047600507736206;0.9986075758934021;0.0017932483460754156;0.5;1.1708813905715942;0.0;0.5039999485015869
1;0.5442642569541931;1.0258060693740845;0.9646427035331726;0.11263495683670044;0.5002503395080566;1.0758739709854126;0.4988749623298645;0.005398147739470005
2;0.7743275165557861;0.7081571817398071;0.9279390573501587;0.6177136898040771;0.5011264085769653;1.193790316581726;0.41293978691101074;0.09262049198150635
3;0.9490506052970886;0.4239225685596466;0.9931338429450989;0.9033477306365967;0.4993742108345032;1.3838046789169312;0.4912499785423279;0.0122393649071455
4;0.9910205602645874;0.31181102991104126;0.9993476271629333;0.9826667904853821;0.503379225730896;1.224110722541809;0.3759258985519409;0.13162235915660858
5;0.998813271522522;0.25875911116600037;0.9998665452003479;0.9977840185165405;0.5040050148963928;1.2451691627502441;0.330300897359848;0.1782168447971344
6;0.9995253086090088;0.2304965853691101;0.9997895359992981;0.9992774128913879;0.5018773674964905;1.2982940673828125;0.27299073338508606;0.2331293672323227
7;0.9995648860931396;0.2095077633857727;0.9996892809867859;0.9994224309921265;0.5001251697540283;1.2333194017410278;0.3654259145259857;0.13912425935268402
8;0.9998022317886353;0.19426871836185455;0.999851644039154;0.9997761845588684;0.5022528171539307;1.2268073558807373;0.3980509042739868;0.10837236791849136
9;0.9999209046363831;0.18046878278255463;0.9999366402626038;0.9999275803565979;0.5042552947998047;1.4701839685440063;0.17429165542125702;0.3336687982082367
10;0.9999209046363831;0.1696881502866745;0.9999999403953552;0.9998278617858887;0.4993742108345032;1.243588924407959;0.34195831418037415;0.16133996844291687
11;0.9998417496681213;0.1598186492919922;0.9998408555984497;0.9998359084129333;0.5007509589195251;1.2379090785980225;0.3460046052932739;0.1589311808347702
