epoch;accuracy;loss;sensitivity;specificity;val_accuracy;val_loss;val_sensitivity;val_specificity
0;0.48224395513534546;0.7848315238952637;0.4749812185764313;0.49060240387916565;0.5311475396156311;0.7803223133087158;0.11980228126049042;0.4999018609523773
1;0.5522388219833374;0.7756819725036621;0.5582315325737;0.5508589744567871;0.5377049446105957;0.7742257714271545;0.1576530486345291;0.45683813095092773
2;0.6062789559364319;0.7679322957992554;0.6220012307167053;0.5909543037414551;0.5524590015411377;0.7692632675170898;0.20908796787261963;0.4089031219482422
3;0.6572310924530029;0.7613465785980225;0.6948029398918152;0.6280316114425659;0.5704917907714844;0.7652227282524109;0.25162625312805176;0.3789827823638916
4;0.6989191770553589;0.7557862997055054;0.7469971776008606;0.656047523021698;0.5590164065361023;0.761881947517395;0.28418365120887756;0.32539209723472595
5;0.7457540035247803;0.7509230375289917;0.8031744956970215;0.6988146901130676;0.5508196949958801;0.7591099739074707;0.30593109130859375;0.2921629548072815
6;0.7807514071464539;0.7465527057647705;0.836546003818512;0.7367389798164368;0.5409836173057556;0.756766676902771;0.31578439474105835;0.27341294288635254
7;0.8111168146133423;0.7427500486373901;0.865881085395813;0.76685631275177;0.5459016561508179;0.7547783255577087;0.3329719007015228;0.2609129548072815
8;0.8265568614006042;0.739725649356842;0.8893458843231201;0.7903157472610474;0.5459016561508179;0.7530609369277954;0.34907522797584534;0.23880510032176971
9;0.8651569485664368;0.7362256050109863;0.9271259903907776;0.8140589594841003;0.5459016561508179;0.7515873908996582;0.3522002100944519;0.23430141806602478
10;0.8883170485496521;0.7332873344421387;0.9423456788063049;0.8369572162628174;0.5459016561508179;0.750286340713501;0.3537627160549164;0.2327389270067215
11;0.9011837244033813;0.7306444048881531;0.9592844247817993;0.847721517086029;0.5508196949958801;0.749136745929718;0.3615752160549164;0.22450976073741913
