epoch;accuracy;loss;sensitivity;specificity;val_accuracy;val_loss;val_sensitivity;val_specificity
0;0.4971693158149719;1.1404632329940796;0.975331723690033;0.037349049001932144;0.5;1.21336030960083;0.0;0.5999998450279236
1;0.5048893690109253;1.084195613861084;0.9972246289253235;0.030099067836999893;0.5;1.2182759046554565;0.0;0.5999998450279236
2;0.5069479942321777;1.0395517349243164;0.9950062036514282;0.0341767854988575;0.5;1.2228714227676392;0.0;0.5999998450279236
3;0.6881111860275269;0.8764160871505737;0.9637512564659119;0.42355987429618835;0.5;1.2242414951324463;0.0;0.5999998450279236
4;0.8847143650054932;0.6181908845901489;0.9861565232276917;0.7923823595046997;0.5;1.2250975370407104;0.0;0.5999998450279236
5;0.9783839583396912;0.4359356760978699;0.9990781545639038;0.9592975974082947;0.5;1.2254835367202759;0.0;0.5999998450279236
6;0.9979413151741028;0.34729939699172974;0.9999998211860657;0.996091902256012;0.5;1.22531259059906;0.0;0.5999998450279236
7;1.0;0.29716363549232483;0.9999998807907104;0.9999998211860657;0.5;1.2243092060089111;0.0;0.5999998450279236
8;1.0;0.27384400367736816;0.9999998211860657;0.9999998807907104;0.5;1.222989797592163;0.0;0.5999998450279236
9;1.0;0.25915196537971497;0.9999998211860657;0.9999998807907104;0.5;1.2211370468139648;0.0;0.5999998450279236
10;1.0;0.24771296977996826;0.9999998807907104;0.9999998807907104;0.5;1.2187925577163696;0.0;0.5999998450279236
