epoch;accuracy;loss;sensitivity;specificity;val_accuracy;val_loss;val_sensitivity;val_specificity
0;0.5111008882522583;1.036439061164856;0.9934495687484741;0.01720450632274151;0.5044791102409363;1.0131216049194336;0.5041118264198303;0.005592104513198137
1;0.5249130129814148;0.956066906452179;0.987018346786499;0.0530393086373806;0.5089582204818726;0.9990441799163818;0.5029605031013489;0.011218239553272724
2;0.7502046227455139;0.6817918419837952;0.9132184982299805;0.5830096006393433;0.5142667293548584;1.2364226579666138;0.38059207797050476;0.14058151841163635
3;0.9527828693389893;0.25717800855636597;0.9791754484176636;0.9262281656265259;0.5174187421798706;1.4886837005615234;0.4171600341796875;0.10548056662082672
4;0.9952424764633179;0.11637593060731888;0.9985265731811523;0.9925128221511841;0.5155938863754272;1.8397789001464844;0.2108004093170166;0.3116152286529541
5;0.9995907545089722;0.06899557262659073;0.9998177886009216;0.9994056820869446;0.5137690901756287;1.6032828092575073;0.3748354911804199;0.14732114970684052
6;0.9999488592147827;0.048913631588220596;0.9999998807907104;0.9998944997787476;0.5092899799346924;1.7588599920272827;0.29424339532852173;0.22506804764270782
7;1.0;0.03810438513755798;0.9999998807907104;0.9999998807907104;0.5134372711181641;1.857508897781372;0.2817433774471283;0.24096715450286865
8;0.9710456132888794;0.1961783766746521;0.9863662123680115;0.9565016627311707;0.520570695400238;1.9898630380630493;0.2668859362602234;0.25902149081230164
9;0.9964190721511841;0.08746745437383652;0.9981812834739685;0.9948216080665588;0.5167551636695862;2.203550338745117;0.22461619973182678;0.2997315227985382
10;0.9979537725448608;0.0682319775223732;0.9989139437675476;0.9970747828483582;0.5131055116653442;2.336300849914551;0.213267520070076;0.30673205852508545
11;0.9891037344932556;0.10227999836206436;0.9941142201423645;0.9850618243217468;0.5160915851593018;2.5805726051330566;0.1832236647605896;0.33823162317276
