epoch;accuracy;loss;sensitivity;specificity;val_accuracy;val_loss;val_sensitivity;val_specificity
0;0.559554398059845;0.964440107345581;0.6831150054931641;0.43825554847717285;0.5804838538169861;0.877168595790863;0.2833440601825714;0.30316999554634094
1;0.8316951394081116;0.8022944927215576;0.8791269659996033;0.792736828327179;0.5512903332710266;1.1221566200256348;0.2433265596628189;0.3143562972545624
2;0.982509195804596;0.4803277254104614;0.9917569160461426;0.9755997061729431;0.5304838418960571;1.1037572622299194;0.23177465796470642;0.3036813735961914
3;0.9957154989242554;0.3658166825771332;0.9990778565406799;0.992987334728241;0.5606451630592346;1.0304639339447021;0.3598122000694275;0.20731058716773987
4;0.9977317452430725;0.3165073096752167;0.999904990196228;0.9958552122116089;0.5340322852134705;1.0169919729232788;0.2170010805130005;0.32311609387397766
