epoch;accuracy;loss;sensitivity;specificity;val_accuracy;val_loss;val_sensitivity;val_specificity
0;0.5017340779304504;0.8857427835464478;0.99473637342453;0.005288664251565933;0.5;1.0458691120147705;0.5199999809265137;0.0
1;0.507514476776123;0.8041010499000549;0.9941553473472595;0.019570721313357353;0.5;1.044455885887146;0.5199999809265137;0.0
2;0.5426589846611023;0.7687311768531799;0.9744439721107483;0.10795843601226807;0.5438596606254578;1.0416957139968872;0.4986666142940521;0.06640440970659256
3;0.6115607023239136;0.7474538683891296;0.9153533577919006;0.3034593164920807;0.5100250840187073;1.0346227884292603;0.5199999809265137;0.009999999776482582
4;0.6376878619194031;0.731680691242218;0.9255746006965637;0.34760069847106934;0.5394737124443054;1.0221501588821411;0.4949166178703308;0.0652279406785965
5;0.6788439154624939;0.719042181968689;0.9217450022697449;0.4394134283065796;0.6416040062904358;0.9993396401405334;0.41333329677581787;0.252669095993042
6;0.7250866889953613;0.7086227536201477;0.9054751396179199;0.5459275245666504;0.6528822183609009;0.9580237865447998;0.4002082943916321;0.27831369638442993
7;0.7419652938842773;0.6989049911499023;0.895887553691864;0.5899865627288818;0.713032603263855;0.8992665410041809;0.3637916147708893;0.3781837821006775
8;0.7884393334388733;0.6896478533744812;0.9000792503356934;0.6820028424263;0.6591478586196899;0.825485348701477;0.40083327889442444;0.284531831741333
9;0.8060115575790405;0.6811865568161011;0.9006247520446777;0.7170833349227905;0.6265664100646973;0.7645679116249084;0.4442082941532135;0.20646321773529053
10;0.8154913187026978;0.6718327403068542;0.9088749885559082;0.7197902798652649;0.7293233275413513;0.7332271337509155;0.36058327555656433;0.39765194058418274
11;0.8339884281158447;0.6636816263198853;0.9072569608688354;0.7624843120574951;0.6885964870452881;0.7133559584617615;0.38895827531814575;0.3286225199699402
12;0.8527167439460754;0.656021237373352;0.909877359867096;0.7961081266403198;0.6478696465492249;0.704797625541687;0.42529162764549255;0.24830389022827148
13;0.8732947707176208;0.6488890647888184;0.9328265190124512;0.8206112384796143;0.6660401225090027;0.7004210352897644;0.4089582860469818;0.2844264507293701
14;0.8836994171142578;0.641033947467804;0.9290153384208679;0.8404194116592407;0.6610275506973267;0.6983377933502197;0.41895827651023865;0.2693431079387665
