epoch;accuracy;loss;sensitivity;specificity;val_accuracy;val_loss;val_sensitivity;val_specificity
0;0.49405646324157715;0.9681018590927124;0.9884330630302429;0.008522724732756615;0.5;1.0453715324401855;0.5714283585548401;0.0
1;0.49554234743118286;0.9543423652648926;0.9999994039535522;0.0;0.5;1.0452055931091309;0.5714283585548401;0.0
2;0.49554234743118286;0.947862982749939;0.9999994039535522;0.0;0.5;1.0450245141983032;0.5714283585548401;0.0
3;0.49554234743118286;0.9422712326049805;0.9999994039535522;0.0;0.5;1.044832706451416;0.5714283585548401;0.0
4;0.49777117371559143;0.9354810118675232;0.9999994039535522;0.00411450257524848;0.5;1.0445302724838257;0.5714283585548401;0.0
5;0.5;0.930348813533783;0.9999994039535522;0.0093637490645051;0.5;1.04422128200531;0.5714283585548401;0.0
6;0.5007429122924805;0.9260269403457642;0.9999994039535522;0.00942939892411232;0.5;1.043956995010376;0.5714283585548401;0.0
7;0.5089153051376343;0.9218108057975769;0.954545259475708;0.02495979517698288;0.5;1.043595552444458;0.5714283585548401;0.0
8;0.5089153051376343;0.9159339070320129;0.9999994039535522;0.025818871334195137;0.5;1.0432389974594116;0.5714283585548401;0.0
9;0.5118870735168457;0.9096595048904419;0.954545259475708;0.030274247750639915;0.5;1.0429426431655884;0.5714283585548401;0.0
10;0.5133729577064514;0.9061020612716675;0.9999996423721313;0.033615075051784515;0.5;1.0420156717300415;0.5714283585548401;0.0
